"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.351966083E0,-1.383907032E-1,6.706990242E-2,-1.146042573E-1,1.917928423E-1
1.362012083E0,-2.279079112E-1,-2.357421935E-2,-1.813198185E-1,2.921893845E-1
1.372059083E0,-3.201841736E-1,-5.796637237E-2,-3.341543412E-1,4.664087575E-1
1.382105083E0,-3.383047680E-1,-9.882437646E-2,-4.038730323E-1,5.360315286E-1
1.392151083E0,-2.642732072E-1,-1.194820046E-1,-1.957519344E-1,3.499072696E-1
1.402198083E0,-1.022917571E-1,-3.504762590E-2,-1.207064299E-1,1.620554901E-1
1.412244083E0,9.226632211E-2,4.476628304E-2,-3.877171755E-2,1.096373129E-1
1.422290083E0,1.982112185E-1,1.364523786E-1,4.970016360E-2,2.457174089E-1
1.432337083E0,1.801103768E-1,1.091909051E-1,-3.818231821E-2,2.140567471E-1
1.442383083E0,1.551713807E-1,2.388178289E-2,-8.614584049E-2,1.790798782E-1
1.452429083E0,1.596290239E-1,-7.056887627E-2,-2.087210405E-1,2.720769455E-1
1.462476083E0,1.262122229E-1,-1.572936094E-1,-2.736801163E-1,3.399582487E-1
1.472522083E0,1.521167770E-1,-1.550436008E-1,-1.690827656E-1,2.752580855E-1
1.482568083E0,1.307407453E-1,-4.506858408E-2,8.563713273E-2,1.626592704E-1
1.492615083E0,1.776572140E-1,-3.525286317E-3,1.806426927E-1,2.533896125E-1
1.502661083E0,1.331916697E-1,3.439916968E-3,1.195240863E-1,1.789912319E-1
1.512708083E0,1.606739030E-1,5.744830906E-2,6.957720676E-2,1.842753348E-1
1.522754083E0,1.575207920E-1,9.264270008E-2,1.306782532E-1,2.246603562E-1
1.532800083E0,1.729921774E-1,1.117338592E-1,1.508102167E-1,2.552537369E-1
1.542847083E0,1.260191461E-1,7.966948271E-2,1.446600787E-1,2.077368287E-1
1.552893083E0,9.316293782E-2,9.580312014E-2,1.697598732E-1,2.160462574E-1
1.562939083E0,5.643048698E-2,1.113227999E-1,1.703901847E-1,2.112107495E-1
1.572986083E0,-5.000494058E-2,3.613579273E-2,1.484643320E-1,1.607729687E-1
1.583032083E0,-8.591310304E-2,-5.117950916E-2,-2.475243330E-2,1.030198349E-1
1.593078083E0,-8.985796362E-2,-9.141361535E-2,-2.444440015E-1,2.760140804E-1
1.603125083E0,-9.687754601E-2,-7.727855623E-2,-3.587711191E-1,3.795707445E-1
1.613171083E0,-7.123587912E-2,-6.261666298E-2,-2.221205199E-1,2.415220949E-1
1.623217083E0,6.345842906E-2,4.441545010E-3,7.731206808E-3,6.408175325E-2
1.633264083E0,1.697401205E-1,4.924641967E-2,5.010245204E-2,1.837040393E-1
1.643310083E0,1.922389821E-1,-5.094328165E-2,2.871452490E-2,2.009367267E-1
1.653356083E0,1.044572460E-1,-5.319972217E-2,-3.590190411E-2,1.225988311E-1
1.663403083E0,4.675474749E-3,5.130990207E-2,-1.146171212E-1,1.256648343E-1
1.673449083E0,-1.228823890E-2,9.404193878E-2,-7.233120879E-2,1.192756925E-1
1.683495083E0,-1.051732284E-1,4.713557482E-2,-4.096559286E-3,1.153254186E-1
1.693542083E0,-2.423809759E-1,-2.179783523E-2,-8.013609052E-2,2.562137313E-1
1.703588083E0,-3.061499972E-1,-9.393201113E-2,-1.685343150E-1,3.618768559E-1
1.713634083E0,-2.894566899E-1,-1.415534896E-1,-2.481558506E-1,4.066987729E-1
1.723681083E0,-2.938605021E-1,-1.064035374E-1,-1.947672268E-1,3.682526036E-1
1.733727083E0,-1.957352151E-1,-5.312195420E-2,-1.074753137E-1,2.295324803E-1
1.743773083E0,-2.677751594E-2,-6.600746334E-2,-1.551347991E-1,1.707068436E-1
1.753820083E0,5.625158502E-2,-4.854884684E-2,-1.448519039E-1,1.627983581E-1
1.763866083E0,9.405017970E-4,1.886896491E-2,-7.348899404E-2,7.587855181E-2
1.773912083E0,8.366172401E-2,1.093633980E-1,1.454120672E-1,2.002605956E-1
1.783959083E0,1.863176164E-1,1.560557538E-1,3.131827176E-1,3.964228387E-1
1.794005833E0,2.174001540E-1,1.288533372E-1,3.379562008E-1,4.219957383E-1
1.804051833E0,1.738554457E-1,5.437910557E-2,3.381702089E-1,3.841118240E-1
1.814098833E0,9.341923772E-2,-9.763095975E-3,3.240129304E-1,3.373527102E-1
1.824144833E0,6.287263398E-2,1.487005413E-2,3.138118780E-1,3.203934790E-1
1.834191833E0,-8.044206435E-2,1.882920384E-2,9.878401240E-2,1.287778931E-1
1.844237833E0,-2.438026351E-1,1.138587373E-1,-4.131244969E-1,4.930267608E-1
1.854283833E0,-1.157275532E-1,4.950603604E-1,-1.242002399E0,1.342031142E0
1.864330833E0,-3.267672613E-1,-5.484162033E-2,-2.972443771E-1,4.451276964E-1
1.874376833E0,-3.889420941E-1,-1.636746758E-1,4.120684898E-1,5.898014855E-1
1.884422833E0,-3.291334102E-1,-1.562370175E-1,8.158959138E-1,8.935462773E-1
1.894469833E0,-1.942461485E-1,-1.224769485E-1,9.273800969E-1,9.553878863E-1
1.904515833E0,8.611419244E-2,1.912963378E-1,4.000033450E-1,4.516775609E-1
1.914561833E0,-1.353522616E-2,9.351451993E-3,5.074775076E-1,5.077441016E-1
1.924608833E0,-1.172406664E-1,-4.716130257E-2,1.133085326E-1,1.697303328E-1
1.934654833E0,-2.663692330E-1,-1.486496705E-1,-1.697621938E-1,3.490966847E-1
1.944700833E0,-1.750319786E-1,1.250871456E-1,-6.569510508E-1,6.912797340E-1
1.954747833E0,2.276768731E-2,3.594505656E-1,-1.845327466E0,1.880148008E0
1.964793833E0,-2.845998098E-1,-1.561031163E-1,-6.539420736E-1,7.300722363E-1
1.974839833E0,-3.992322434E-1,-2.542012686E-1,8.735073602E-1,9.934886902E-1
1.984886833E0,-3.293173052E-1,-2.292237175E-1,1.797431753E0,1.841671606E0
1.994932833E0,2.306717895E-2,1.264115399E-1,1.195905290E0,1.202789023E0
2.004978833E0,3.715653386E-1,3.384461975E-1,6.373137617E-1,8.116498385E-1
2.015025833E0,4.696357531E-1,2.538872731E-1,7.855535424E-1,9.497951653E-1
2.025071833E0,3.797519887E-1,2.199821931E-1,2.798781466E-1,5.205146637E-1
2.035117833E0,7.187715422E-2,7.084428012E-2,-1.393368284E-1,1.720464736E-1
2.045164833E0,-1.396775201E-1,-3.848344982E-2,-4.017177486E-1,4.270455890E-1
2.055210833E0,-1.109165737E-1,-8.859291852E-2,-4.713639343E-1,4.922754819E-1
2.065256833E0,-5.694718441E-2,-7.651023209E-2,-4.969455028E-1,5.060154446E-1
2.075303833E0,-2.749779241E-2,-4.921192110E-2,-4.203200805E-1,4.240836142E-1
2.085349833E0,-1.777057459E-2,-3.836942911E-3,-2.496000763E-1,2.502612905E-1
2.095395833E0,1.372100042E-1,1.075460833E-1,-6.505378246E-2,1.860772418E-1
2.105442833E0,2.048980761E-1,2.010003769E-1,1.125121236E-2,2.872472156E-1
2.115488833E0,1.980614933E-1,2.674247468E-1,5.163093248E-2,3.367641660E-1
2.125534833E0,1.640100136E-1,2.630820197E-1,5.713784019E-2,3.152398554E-1
2.135581833E0,1.410676590E-1,2.774860507E-1,1.222650966E-2,3.115254088E-1
2.145627833E0,1.509758208E-1,2.347592765E-1,-1.348286068E-1,3.099747886E-1
2.155674833E0,-3.876910457E-2,1.516779435E-1,-2.226912081E-1,2.722142836E-1
2.165720833E0,-2.176242120E-1,2.816428363E-2,-3.108602035E-1,3.805096459E-1
2.175766833E0,-3.560938253E-1,-7.734462976E-2,-3.821365929E-1,5.280278210E-1
2.185812833E0,-4.585863794E-1,-1.534783012E-1,-3.305781841E-1,5.857806689E-1
2.195859833E0,-4.504958794E-1,-1.422276735E-1,-2.099805125E-1,5.169787850E-1
2.205905833E0,-2.931979395E-1,-1.466879296E-1,-9.972426295E-2,3.426766829E-1
2.215952833E0,-1.579655458E-1,-1.517358309E-1,-6.907432795E-2,2.296696297E-1
2.225998833E0,-8.723960786E-2,-1.731366402E-1,-1.733710953E-1,2.600857205E-1
2.236044833E0,-3.643014522E-2,-2.260206127E-1,-2.598549414E-1,3.463193085E-1
2.246091833E0,-4.084851150E-2,-1.599499995E-1,-3.292017496E-1,3.682748907E-1
2.256137833E0,-4.124066781E-2,-1.072244865E-1,-3.197748685E-1,3.397850051E-1
2.266183833E0,6.242814509E-2,-6.527714610E-2,-1.962676406E-1,2.160540808E-1
2.276230833E0,1.676217657E-1,5.020360887E-2,6.116653522E-2,1.853612789E-1
2.286276833E0,1.224370869E-1,1.212677443E-1,2.039239848E-1,2.669863248E-1
2.296322833E0,1.396295820E-1,8.669198871E-2,1.962150156E-1,2.559536158E-1
2.306369833E0,1.747158635E-1,6.873752832E-2,1.325891232E-1,2.298485509E-1
2.316415833E0,1.968414900E-1,2.267491758E-2,2.201816014E-1,2.962105023E-1
2.326461833E0,1.872006008E-1,-1.466774046E-2,1.937580339E-1,2.698173146E-1
2.336508833E0,1.157797487E-1,-1.803105891E-2,1.335305250E-1,1.776526678E-1
2.346554833E0,4.374155849E-2,1.539688826E-2,1.437736773E-1,1.510670659E-1
2.356600833E0,-2.482351352E-2,5.885514915E-2,2.713622618E-1,2.787787878E-1
2.366647833E0,-6.015895033E-2,1.142733049E-1,2.574283834E-1,2.880049654E-1
2.376693833E0,-1.697996890E-1,1.014597166E-1,2.412923888E-1,3.120064509E-1
2.386739833E0,-2.292906133E-1,8.507932663E-2,1.686956982E-1,2.971042169E-1
2.396786833E0,-4.618635245E-2,7.764400721E-2,-1.725865999E-2,9.197625972E-2
2.406832833E0,1.036012958E-1,6.493859231E-2,-1.124010265E-1,1.660850385E-1
2.416878833E0,2.307172791E-1,6.748856306E-2,-5.133738399E-2,2.458062163E-1
2.426925833E0,2.679526041E-1,1.058036131E-1,-3.237369418E-2,2.898983592E-1
2.436971833E0,1.902697312E-1,1.179091036E-1,-9.294850945E-2,2.423727558E-1
2.447017833E0,1.904278619E-1,8.301525950E-2,-8.476121983E-2,2.243630279E-1
2.457064833E0,3.594534892E-1,1.048727363E-1,-3.632758141E-2,3.761978135E-1
2.467110833E0,5.497564582E-1,1.480222642E-1,-5.616853628E-3,5.693630679E-1
2.477156833E0,6.668462938E-1,1.015275443E-1,-2.410925785E-2,6.749615383E-1
2.487203833E0,8.160384397E-1,1.004095566E-1,6.613182630E-3,8.222192824E-1
2.497249833E0,9.080306371E-1,1.180207855E-1,-7.422808209E-2,9.186720589E-1
2.507295833E0,8.683115244E-1,6.898778915E-2,-3.176944292E-1,9.271752632E-1
2.517342833E0,8.450013068E-1,8.835318267E-2,-7.952809703E-1,1.163746242E0
2.527388833E0,1.206229938E0,1.337340081E-1,-1.004060483E0,1.575123138E0
2.537435833E0,1.608971022E0,2.337974095E-1,-8.501430559E-1,1.834718560E0
2.547481833E0,2.105156387E0,3.476631635E-1,-4.960672510E-1,2.190578875E0
2.557527833E0,2.568752003E0,3.450365943E-1,-1.785727966E-1,2.597965617E0
2.567574833E0,2.857294846E0,2.795109415E-1,9.923426628E-2,2.872648193E0
2.577620833E0,3.116000517E0,2.144361091E-1,4.924068940E-1,3.161946650E0
2.587666833E0,3.194713395E0,1.227640468E-1,8.025513983E-1,3.296263557E0
2.597713833E0,3.038896208E0,4.579188466E-2,5.818669546E-1,3.094439563E0
2.607759833E0,2.787090251E0,-1.499202704E-1,9.948100051E-2,2.792891803E0
